gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature	gene	regulation	no_samples	signature
								NID1	DOWN	41	immunomodulatory					PTPRG	UP	16	mesenchymal_stem_like	GGCT	UP	37	luminal_ar
								NOV	DOWN	38	immunomodulatory					PTPRM	UP	13	mesenchymal_stem_like	AHNAK	UP	25	luminal_ar
								NPR3	DOWN	40	immunomodulatory					PTX3	UP	15	mesenchymal_stem_like	ZFYVE21	UP	27	luminal_ar
								NPY1R	DOWN	45	immunomodulatory					PURA	UP	16	mesenchymal_stem_like	REEP5	UP	39	luminal_ar
								NTRK2	DOWN	37	immunomodulatory					CTDSP1	UP	15	mesenchymal_stem_like	ALG8	UP	23	luminal_ar
								NOX4	DOWN	37	immunomodulatory					JAM2	UP	24	mesenchymal_stem_like	MLPH	UP	44	luminal_ar
								COL5A3	DOWN	37	immunomodulatory					RAC2	UP	16	mesenchymal_stem_like	C1orf116	UP	25	luminal_ar
								SERPINB2	DOWN	46	immunomodulatory					ACTA2	UP	21	mesenchymal_stem_like	C20orf149	UP	24	luminal_ar
								PAX6	DOWN	38	immunomodulatory					RAP1B	UP	13	mesenchymal_stem_like	FA2H	UP	24	luminal_ar
								ANGPTL4	DOWN	43	immunomodulatory					RARRES2	UP	23	mesenchymal_stem_like	ATAD4	UP	39	luminal_ar
								PLCE1	DOWN	42	immunomodulatory					RASA1	UP	13	mesenchymal_stem_like	SLC39A7	UP	23	luminal_ar
								PCP4	DOWN	41	immunomodulatory					RB1	UP	16	mesenchymal_stem_like	ZNF557	UP	23	luminal_ar
								COPZ2	DOWN	39	immunomodulatory					ARID4A	UP	13	mesenchymal_stem_like	FYCO1	UP	34	luminal_ar
								RASL12	DOWN	37	immunomodulatory					RBMS1	UP	20	mesenchymal_stem_like	LASS4	UP	35	luminal_ar
								DACT1	DOWN	37	immunomodulatory					CCND1	UP	14	mesenchymal_stem_like	ACSS3	UP	36	luminal_ar
								VGLL1	DOWN	36	immunomodulatory					RBP4	UP	19	mesenchymal_stem_like	C6orf211	UP	24	luminal_ar
								PDE9A	DOWN	38	immunomodulatory					BCL2	UP	18	mesenchymal_stem_like	C4orf31	UP	34	luminal_ar
								PDGFA	DOWN	43	immunomodulatory					RGS1	UP	13	mesenchymal_stem_like	OCEL1	UP	23	luminal_ar
								PDGFRL	DOWN	38	immunomodulatory					RGS2	UP	13	mesenchymal_stem_like	SRD5A3	UP	30	luminal_ar
								ENPP1	DOWN	46	immunomodulatory					RGS4	UP	13	mesenchymal_stem_like	HECTD3	UP	28	luminal_ar
								PEG3	DOWN	36	immunomodulatory					RNASE1	UP	15	mesenchymal_stem_like	NEIL1	UP	23	luminal_ar
								CALML5	DOWN	40	immunomodulatory					RNASE4	UP	16	mesenchymal_stem_like	PLEKHF2	UP	26	luminal_ar
								PI3	DOWN	39	immunomodulatory					RNASE6	UP	19	mesenchymal_stem_like	PARP8	UP	26	luminal_ar
								SERPINB5	DOWN	39	immunomodulatory					BCL6	UP	13	mesenchymal_stem_like	STEAP4	UP	28	luminal_ar
								PIP	DOWN	46	immunomodulatory					BACH2	UP	15	mesenchymal_stem_like	MORC4	UP	35	luminal_ar
								PKP1	DOWN	36	immunomodulatory					APOBEC3G	UP	13	mesenchymal_stem_like	PPCS	UP	22	luminal_ar
								PLA2G2A	DOWN	36	immunomodulatory					TNFRSF17	UP	14	mesenchymal_stem_like	VPS37B	UP	22	luminal_ar
								PLAT	DOWN	38	immunomodulatory					ROBO1	UP	13	mesenchymal_stem_like	TTLL7	UP	24	luminal_ar
								PLIN	DOWN	38	immunomodulatory					RPS6KA2	UP	17	mesenchymal_stem_like	DHRS12	UP	24	luminal_ar
								PMP22	DOWN	37	immunomodulatory					RRAS	UP	13	mesenchymal_stem_like	C1orf115	UP	35	luminal_ar
								FXYD6	DOWN	39	immunomodulatory					RRBP1	UP	13	mesenchymal_stem_like	LRRC31	UP	31	luminal_ar
								GPR87	DOWN	43	immunomodulatory					RTN1	UP	21	mesenchymal_stem_like	CLMN	UP	28	luminal_ar
								SEPT4	DOWN	44	immunomodulatory					S100A4	UP	17	mesenchymal_stem_like	ZNF552	UP	27	luminal_ar
								UGT2B28	DOWN	47	immunomodulatory					S100B	UP	15	mesenchymal_stem_like	CATSPERB	UP	23	luminal_ar
								MXRA8	DOWN	47	immunomodulatory					SAA2	UP	15	mesenchymal_stem_like	PIP4K2C	UP	22	luminal_ar
								MANSC1	DOWN	41	immunomodulatory					TSPAN31	UP	13	mesenchymal_stem_like	TMC5	UP	39	luminal_ar
								ROPN1	DOWN	47	immunomodulatory					SATB1	UP	16	mesenchymal_stem_like	RABEP2	UP	34	luminal_ar
								TRPM4	DOWN	38	immunomodulatory					ATXN1	UP	14	mesenchymal_stem_like	CYBRD1	UP	30	luminal_ar
								ASPN	DOWN	51	immunomodulatory					CLEC11A	UP	14	mesenchymal_stem_like	C2orf54	UP	28	luminal_ar
								FNBP1L	DOWN	36	immunomodulatory					BGN	UP	15	mesenchymal_stem_like	UBXN8	UP	27	luminal_ar
								PPP1R1A	DOWN	45	immunomodulatory					CEACAM1	UP	13	mesenchymal_stem_like	SLC35E1	UP	24	luminal_ar
								PID1	DOWN	40	immunomodulatory					CCL14	UP	23	mesenchymal_stem_like	DNAJC22	UP	23	luminal_ar
								PPP1R3C	DOWN	45	immunomodulatory					CCL19	UP	19	mesenchymal_stem_like	GPR177	UP	30	luminal_ar
								SOBP	DOWN	39	immunomodulatory					CCL21	UP	14	mesenchymal_stem_like	GRHL2	UP	23	luminal_ar
								ANO1	DOWN	45	immunomodulatory					CXCL12	UP	25	mesenchymal_stem_like	POF1B	UP	34	luminal_ar
								NUDT11	DOWN	39	immunomodulatory					TNN	UP	17	mesenchymal_stem_like	OBFC1	UP	30	luminal_ar
								LEPREL1	DOWN	38	immunomodulatory					CIDEC	UP	13	mesenchymal_stem_like	RBM35B	UP	29	luminal_ar
								PNMAL1	DOWN	40	immunomodulatory					SELL	UP	18	mesenchymal_stem_like	WWC2	UP	27	luminal_ar
								TMEM100	DOWN	40	immunomodulatory					SELP	UP	14	mesenchymal_stem_like	C14orf159	UP	22	luminal_ar
								LGR4	DOWN	42	immunomodulatory					SELPLG	UP	13	mesenchymal_stem_like	TMEM62	UP	31	luminal_ar
								CAMK2N1	DOWN	43	immunomodulatory					SAMSN1	UP	17	mesenchymal_stem_like	CALM1	UP	26	luminal_ar
								PRELP	DOWN	42	immunomodulatory					MOAP1	UP	14	mesenchymal_stem_like	ASRGL1	UP	22	luminal_ar
								LMO3	DOWN	38	immunomodulatory					ELTD1	UP	23	mesenchymal_stem_like	TMEM134	UP	30	luminal_ar
								PROS1	DOWN	40	immunomodulatory					SEPP1	UP	22	mesenchymal_stem_like	C10orf57	UP	27	luminal_ar
								AZGP1	DOWN	36	immunomodulatory					MS4A6A	UP	16	mesenchymal_stem_like	SPG11	UP	33	luminal_ar
								KLK7	DOWN	39	immunomodulatory					PDLIM2	UP	17	mesenchymal_stem_like	COQ10B	UP	25	luminal_ar
								KLK6	DOWN	38	immunomodulatory					SFRP4	UP	21	mesenchymal_stem_like	ACSF2	UP	30	luminal_ar
								HTRA1	DOWN	41	immunomodulatory					SOX17	UP	14	mesenchymal_stem_like	RAB11FIP1	UP	29	luminal_ar
								KLK10	DOWN	43	immunomodulatory					ZMAT3	UP	13	mesenchymal_stem_like	CCDC6	UP	23	luminal_ar
								NDUFA4L2	DOWN	48	immunomodulatory					ZFP106	UP	21	mesenchymal_stem_like	EFHD1	UP	36	luminal_ar
								PMEPA1	DOWN	43	immunomodulatory					ARAP3	UP	13	mesenchymal_stem_like	RNF39	UP	28	luminal_ar
								CXCR7	DOWN	37	immunomodulatory					SGCD	UP	14	mesenchymal_stem_like	SLC44A4	UP	30	luminal_ar
								AKR1B10	DOWN	42	immunomodulatory					SGK1	UP	15	mesenchymal_stem_like	MFAP5	UP	26	luminal_ar
								KIAA1199	DOWN	41	immunomodulatory					SCG5	UP	17	mesenchymal_stem_like	SLC2A10	UP	37	luminal_ar
								PSPH	DOWN	40	immunomodulatory					TPSB2	UP	19	mesenchymal_stem_like	SYNC	UP	27	luminal_ar
								TTYH1	DOWN	60	immunomodulatory					SH3BGRL	UP	18	mesenchymal_stem_like	ITFG1	UP	26	luminal_ar
								SLC24A3	DOWN	39	immunomodulatory					ITSN1	UP	17	mesenchymal_stem_like	SGPP1	UP	22	luminal_ar
								PTGS2	DOWN	43	immunomodulatory					MICAL1	UP	14	mesenchymal_stem_like	SLC38A1	UP	38	luminal_ar
								NDRG2	DOWN	40	immunomodulatory					CRTC3	UP	20	mesenchymal_stem_like	FBXO38	UP	25	luminal_ar
								PTH2R	DOWN	37	immunomodulatory					DEPDC6	UP	17	mesenchymal_stem_like	CAB39L	UP	24	luminal_ar
								NLGN4X	DOWN	40	immunomodulatory					SPATA20	UP	15	mesenchymal_stem_like	RNF170	UP	28	luminal_ar
								KIAA1305	DOWN	38	immunomodulatory					BCL11B	UP	14	mesenchymal_stem_like	RAB1B	UP	22	luminal_ar
								PTK6	DOWN	40	immunomodulatory					BMP2	UP	15	mesenchymal_stem_like	NCOA3	UP	23	luminal_ar
								KIAA1324	DOWN	48	immunomodulatory					SLA	UP	14	mesenchymal_stem_like	NRIP1	UP	35	luminal_ar
								PTK7	DOWN	40	immunomodulatory					TMEM135	UP	14	mesenchymal_stem_like	PNPLA4	UP	27	luminal_ar
								PTN	DOWN	43	immunomodulatory					LOC652493	UP	17	mesenchymal_stem_like	ACOX2	UP	32	luminal_ar
								PTPRG	DOWN	36	immunomodulatory					LOC654342	UP	14	mesenchymal_stem_like	ACOX3	UP	26	luminal_ar
								ACTA1	DOWN	41	immunomodulatory					SLC12A2	UP	14	mesenchymal_stem_like	FZD4	UP	30	luminal_ar
								PTPRZ1	DOWN	54	immunomodulatory					SLCO2A1	UP	19	mesenchymal_stem_like	HIST1H2AC	UP	24	luminal_ar
								PTX3	DOWN	37	immunomodulatory					SLIT3	UP	21	mesenchymal_stem_like	HIST1H2AM	UP	24	luminal_ar
								WFDC1	DOWN	45	immunomodulatory					SNAI2	UP	19	mesenchymal_stem_like	HIST2H2AA3	UP	27	luminal_ar
								PYGB	DOWN	41	immunomodulatory					SMARCA1	UP	17	mesenchymal_stem_like	HIST1H2BG	UP	24	luminal_ar
								RRAGD	DOWN	40	immunomodulatory					CAPRIN2	UP	13	mesenchymal_stem_like	HIST1H2BF	UP	28	luminal_ar
								RBP4	DOWN	44	immunomodulatory					GRAMD3	UP	15	mesenchymal_stem_like	HIST1H2BE	UP	25	luminal_ar
								RGS2	DOWN	41	immunomodulatory					TRAK2	UP	17	mesenchymal_stem_like	HIST1H2BH	UP	26	luminal_ar
								RNASE4	DOWN	39	immunomodulatory					SNRPN	UP	16	mesenchymal_stem_like	ABHD11	UP	35	luminal_ar
								S100A1	DOWN	43	immunomodulatory					SNX2	UP	13	mesenchymal_stem_like	HIST1H2BI	UP	24	luminal_ar
								SORT1	DOWN	37	immunomodulatory					SNTB2	UP	13	mesenchymal_stem_like	APH1B	UP	23	luminal_ar
								S100A2	DOWN	45	immunomodulatory					SOD3	UP	16	mesenchymal_stem_like	HIST1H2BC	UP	27	luminal_ar
								S100A7	DOWN	39	immunomodulatory					SORL1	UP	16	mesenchymal_stem_like	EPPK1	UP	23	luminal_ar
								S100A10	DOWN	39	immunomodulatory					DST	UP	18	mesenchymal_stem_like	HIST2H2BE	UP	22	luminal_ar
								S100B	DOWN	37	immunomodulatory					SPARC	UP	22	mesenchymal_stem_like	HIST1H3D	UP	27	luminal_ar
								SC4MOL	DOWN	39	immunomodulatory					SPOCK1	UP	22	mesenchymal_stem_like	HIST1H3H	UP	28	luminal_ar
								SERPINB3	DOWN	36	immunomodulatory					SPTAN1	UP	13	mesenchymal_stem_like	HIST1H4K	UP	22	luminal_ar
								CLEC11A	DOWN	37	immunomodulatory					SPTBN1	UP	16	mesenchymal_stem_like	HIST1H4H	UP	34	luminal_ar
								BGN	DOWN	37	immunomodulatory					SRI	UP	14	mesenchymal_stem_like	CASP6	UP	26	luminal_ar
								SCNN1A	DOWN	47	immunomodulatory					ST5	UP	14	mesenchymal_stem_like	SPARCL1	UP	25	luminal_ar
								SDC1	DOWN	45	immunomodulatory					ZFP36L1	UP	15	mesenchymal_stem_like	CASP8	UP	26	luminal_ar
								SDC2	DOWN	38	immunomodulatory					STAT4	UP	13	mesenchymal_stem_like	MFSD7	UP	32	luminal_ar
								XYLT1	DOWN	48	immunomodulatory					STAT5B	UP	13	mesenchymal_stem_like	SETD3	UP	23	luminal_ar
								SH3BGR	DOWN	43	immunomodulatory					ZFP36L2	UP	13	mesenchymal_stem_like	RGPD5	UP	24	luminal_ar
								NT5DC2	DOWN	38	immunomodulatory					STXBP1	UP	18	mesenchymal_stem_like	HSDL2	UP	25	luminal_ar
								SIX3	DOWN	37	immunomodulatory					SVIL	UP	14	mesenchymal_stem_like	CUL4B	UP	23	luminal_ar
								REEP1	DOWN	38	immunomodulatory					TACC1	UP	17	mesenchymal_stem_like	HOPX	UP	35	luminal_ar
								SMTN	DOWN	51	immunomodulatory					KLF9	UP	20	mesenchymal_stem_like	CILP	UP	29	luminal_ar
								SLC6A8	DOWN	39	immunomodulatory					TAGLN	UP	23	mesenchymal_stem_like	CBR4	UP	30	luminal_ar
								LOC654342	DOWN	41	immunomodulatory					TCF4	UP	19	mesenchymal_stem_like	RGS5	UP	25	luminal_ar
								SNAI2	DOWN	47	immunomodulatory					ZEB1	UP	22	mesenchymal_stem_like	PIK3R3	UP	24	luminal_ar
								GRAMD3	DOWN	37	immunomodulatory					BTG1	UP	13	mesenchymal_stem_like	PEX3	UP	24	luminal_ar
								SOX4	DOWN	36	immunomodulatory					TRA@	UP	13	mesenchymal_stem_like	HIST1H2BK	UP	26	luminal_ar
								SOX10	DOWN	41	immunomodulatory					TEK	UP	15	mesenchymal_stem_like	DGKD	UP	29	luminal_ar
								SOX11	DOWN	38	immunomodulatory					NR2F1	UP	18	mesenchymal_stem_like	CHST1	UP	34	luminal_ar
								DST	DOWN	42	immunomodulatory					NR2F2	UP	19	mesenchymal_stem_like	BCAS1	UP	22	luminal_ar
								SPARC	DOWN	39	immunomodulatory					TFPI	UP	23	mesenchymal_stem_like	PPFIA3	UP	26	luminal_ar
								SPOCK1	DOWN	52	immunomodulatory					TGFB1	UP	18	mesenchymal_stem_like	BHLHE40	UP	24	luminal_ar
								SQLE	DOWN	38	immunomodulatory					TGFB1I1	UP	22	mesenchymal_stem_like	PIAS1	UP	23	luminal_ar
								STXBP1	DOWN	37	immunomodulatory					TGFB3	UP	16	mesenchymal_stem_like	KMO	UP	42	luminal_ar
								SVIL	DOWN	41	immunomodulatory					TGFBR2	UP	24	mesenchymal_stem_like	PPAP2B	UP	25	luminal_ar
								KLF9	DOWN	38	immunomodulatory					TGFBR3	UP	20	mesenchymal_stem_like	RUNX1T1	UP	24	luminal_ar
								TAGLN	DOWN	43	immunomodulatory					THBD	UP	17	mesenchymal_stem_like	HSD17B6	UP	23	luminal_ar
								KLF5	DOWN	39	immunomodulatory					THBS1	UP	19	mesenchymal_stem_like	RNASET2	UP	22	luminal_ar
								TBX3	DOWN	49	immunomodulatory					THBS2	UP	15	mesenchymal_stem_like	AKR1C3	UP	28	luminal_ar
								TCN1	DOWN	47	immunomodulatory					THBS4	UP	22	mesenchymal_stem_like	NCOA1	UP	25	luminal_ar
								TF	DOWN	36	immunomodulatory					THY1	UP	18	mesenchymal_stem_like	ALDH4A1	UP	36	luminal_ar
								TFAP2B	DOWN	53	immunomodulatory					KLF10	UP	16	mesenchymal_stem_like	VAMP8	UP	23	luminal_ar
								TFAP2C	DOWN	38	immunomodulatory					TIE1	UP	22	mesenchymal_stem_like	ABCC3	UP	26	luminal_ar
								NR2F1	DOWN	38	immunomodulatory					TIMP1	UP	14	mesenchymal_stem_like	CRADD	UP	24	luminal_ar
								TGFB1I1	DOWN	47	immunomodulatory					TIMP2	UP	13	mesenchymal_stem_like	TNFSF13	UP	26	luminal_ar
								TGFBR3	DOWN	40	immunomodulatory					TIMP3	UP	21	mesenchymal_stem_like	TNFSF10	UP	28	luminal_ar
								THBS2	DOWN	44	immunomodulatory					TIMP4	UP	15	mesenchymal_stem_like	ADAM15	UP	27	luminal_ar
								THBS3	DOWN	39	immunomodulatory					TLE4	UP	15	mesenchymal_stem_like	ADAM9	UP	25	luminal_ar
								TIMP3	DOWN	42	immunomodulatory					SERPING1	UP	21	mesenchymal_stem_like	RAB11A	UP	26	luminal_ar
								TLE2	DOWN	39	immunomodulatory					TSPAN7	UP	21	mesenchymal_stem_like	SNAP23	UP	27	luminal_ar
								TSPAN8	DOWN	41	immunomodulatory					TSPAN4	UP	14	mesenchymal_stem_like	NAPA	UP	30	luminal_ar
								TNNT1	DOWN	46	immunomodulatory					CLDN5	UP	18	mesenchymal_stem_like	PEX11A	UP	34	luminal_ar
								TPM2	DOWN	47	immunomodulatory					CLEC3B	UP	18	mesenchymal_stem_like	SUCLG2	UP	27	luminal_ar
								ACTG2	DOWN	53	immunomodulatory					TNFRSF1A	UP	14	mesenchymal_stem_like	SUCLA2	UP	24	luminal_ar
								TTC3	DOWN	36	immunomodulatory					TNFRSF1B	UP	15	mesenchymal_stem_like	INPP4B	UP	36	luminal_ar
								TUBB2A	DOWN	39	immunomodulatory					TNS1	UP	21	mesenchymal_stem_like	LIN7A	UP	30	luminal_ar
								TUFT1	DOWN	37	immunomodulatory					TNXA	UP	19	mesenchymal_stem_like	SOCS2	UP	25	luminal_ar
								UGDH	DOWN	41	immunomodulatory					C1R	UP	22	mesenchymal_stem_like	NIACR2	UP	24	luminal_ar
								MPPED2	DOWN	37	immunomodulatory					C1S	UP	17	mesenchymal_stem_like	TSC22D1	UP	30	luminal_ar
								VSNL1	DOWN	43	immunomodulatory					TPM1	UP	14	mesenchymal_stem_like	TAX1BP1	UP	24	luminal_ar
								CA2	DOWN	41	immunomodulatory					TPM2	UP	19	mesenchymal_stem_like	EIF2B4	UP	23	luminal_ar
								CA6	DOWN	38	immunomodulatory					TPSAB1	UP	19	mesenchymal_stem_like	AP1G2	UP	26	luminal_ar
								CA12	DOWN	38	immunomodulatory					C3	UP	21	mesenchymal_stem_like	HERC3	UP	25	luminal_ar
								CACNA1D	DOWN	36	immunomodulatory					TRAF5	UP	14	mesenchymal_stem_like	SNURF	UP	32	luminal_ar
								PXDN	DOWN	45	immunomodulatory					ACTG2	UP	14	mesenchymal_stem_like	KYNU	UP	42	luminal_ar
								MALL	DOWN	45	immunomodulatory					C4A	UP	15	mesenchymal_stem_like	AP3D1	UP	29	luminal_ar
								MLPH	DOWN	38	immunomodulatory					C4B	UP	16	mesenchymal_stem_like	HIST1H2AG	UP	22	luminal_ar
								C1orf116	DOWN	51	immunomodulatory					TRPC1	UP	18	mesenchymal_stem_like	UBE3B	UP	23	luminal_ar
								DHRS11	DOWN	38	immunomodulatory					TSPYL1	UP	14	mesenchymal_stem_like	ATP6V0E1	UP	25	luminal_ar
								CALB2	DOWN	44	immunomodulatory					TUBB2A	UP	16	mesenchymal_stem_like	C16orf45	UP	22	luminal_ar
								RNF128	DOWN	50	immunomodulatory					TWIST1	UP	19	mesenchymal_stem_like	NAT1	UP	26	luminal_ar
								C5orf23	DOWN	45	immunomodulatory					C7	UP	22	mesenchymal_stem_like	ACVR1	UP	25	luminal_ar
								TTLL7	DOWN	36	immunomodulatory					UBA7	UP	18	mesenchymal_stem_like	CCNG1	UP	23	luminal_ar
								CLMN	DOWN	39	immunomodulatory					UGDH	UP	13	mesenchymal_stem_like	CCNG2	UP	24	luminal_ar
								TMC5	DOWN	44	immunomodulatory					COL14A1	UP	24	mesenchymal_stem_like	C14orf143	UP	27	luminal_ar
								GPR177	DOWN	44	immunomodulatory					C11orf2	UP	16	mesenchymal_stem_like	CLIC3	UP	30	luminal_ar
								FHOD3	DOWN	42	immunomodulatory					VCAM1	UP	13	mesenchymal_stem_like	CCRL2	UP	22	luminal_ar
								PDGFD	DOWN	38	immunomodulatory					VCL	UP	14	mesenchymal_stem_like	SEMA5A	UP	26	luminal_ar
								ADAM12	DOWN	40	immunomodulatory					VEGFB	UP	14	mesenchymal_stem_like	GPRC5A	UP	33	luminal_ar
								MFAP5	DOWN	46	immunomodulatory					VEGFC	UP	14	mesenchymal_stem_like	MAP7	UP	22	luminal_ar
								SLC2A10	DOWN	40	immunomodulatory					VIM	UP	17	mesenchymal_stem_like	PAPSS2	UP	31	luminal_ar
								COLEC12	DOWN	37	immunomodulatory					VIPR1	UP	13	mesenchymal_stem_like	CLDN8	UP	36	luminal_ar
								GDPD5	DOWN	37	immunomodulatory					VWF	UP	21	mesenchymal_stem_like	CLDN1	UP	22	luminal_ar
								MAGED4B	DOWN	44	immunomodulatory					WIPF1	UP	19	mesenchymal_stem_like	HN1L	UP	25	luminal_ar
								SPRY4	DOWN	37	immunomodulatory					XBP1	UP	13	mesenchymal_stem_like	CREB3L1	UP	23	luminal_ar
								MIA	DOWN	44	immunomodulatory					XIST	UP	18	mesenchymal_stem_like	MTA1	UP	27	luminal_ar
								FZD1	DOWN	44	immunomodulatory					C18orf1	UP	15	mesenchymal_stem_like	ATP6V0D1	UP	27	luminal_ar
								HIST1H2BC	DOWN	36	immunomodulatory					ZAP70	UP	14	mesenchymal_stem_like	PDLIM1	UP	37	luminal_ar
								EPPK1	DOWN	36	immunomodulatory					ZFP36	UP	20	mesenchymal_stem_like	AIFM1	UP	26	luminal_ar
								TMEM47	DOWN	39	immunomodulatory					ZNF91	UP	14	mesenchymal_stem_like	SYNGR2	UP	25	luminal_ar
								HIST1H4H	DOWN	39	immunomodulatory					ZBTB16	UP	15	mesenchymal_stem_like	MYOM2	UP	23	luminal_ar
								SRPX	DOWN	38	immunomodulatory					BTG2	UP	19	mesenchymal_stem_like	LRRFIP1	UP	28	luminal_ar
								CDC42BPA	DOWN	36	immunomodulatory					PXDN	UP	19	mesenchymal_stem_like	GGTLC1	UP	38	luminal_ar
								C9orf3	DOWN	46	immunomodulatory					SLC25A20	UP	13	mesenchymal_stem_like	CCPG1	UP	22	luminal_ar
								PPFIBP1	DOWN	38	immunomodulatory					AHNAK	UP	20	mesenchymal_stem_like	RPS6KA5	UP	22	luminal_ar
								CHST1	DOWN	46	immunomodulatory					FTO	UP	15	mesenchymal_stem_like	PTER	UP	25	luminal_ar
								MICALL1	DOWN	37	immunomodulatory					HSD17B8	UP	13	mesenchymal_stem_like	TRIP11	UP	24	luminal_ar
								CAV1	DOWN	43	immunomodulatory					BHLHE41	UP	14	mesenchymal_stem_like	PERLD1	UP	24	luminal_ar
								CAV2	DOWN	44	immunomodulatory					LST1	UP	15	mesenchymal_stem_like	TCEAL1	UP	27	luminal_ar
								AKR1C3	DOWN	36	immunomodulatory					FYCO1	UP	15	mesenchymal_stem_like	ITGBL1	UP	28	luminal_ar
								ALDH4A1	DOWN	36	immunomodulatory					HMBOX1	UP	17	mesenchymal_stem_like	CADPS2	UP	40	luminal_ar
								ACTN1	DOWN	36	immunomodulatory					C1orf54	UP	16	mesenchymal_stem_like	SLC9A3R1	UP	35	luminal_ar
								DLK1	DOWN	43	immunomodulatory					FAT4	UP	16	mesenchymal_stem_like	TM9SF2	UP	23	luminal_ar
								TSC22D1	DOWN	37	immunomodulatory					TMEM204	UP	21	mesenchymal_stem_like	FADS2	UP	23	luminal_ar
								ASAP2	DOWN	38	immunomodulatory					DYNC2H1	UP	13	mesenchymal_stem_like	EIF2AK3	UP	26	luminal_ar
								WASF1	DOWN	37	immunomodulatory					C11orf61	UP	13	mesenchymal_stem_like	ITM2A	UP	23	luminal_ar
								CLIC3	DOWN	36	immunomodulatory					C14orf139	UP	21	mesenchymal_stem_like	CD36	UP	23	luminal_ar
								GPRC5A	DOWN	46	immunomodulatory					STEAP4	UP	15	mesenchymal_stem_like	PIGB	UP	22	luminal_ar
								CLDN8	DOWN	52	immunomodulatory					C1orf115	UP	17	mesenchymal_stem_like	PSMF1	UP	25	luminal_ar
								CLDN1	DOWN	37	immunomodulatory					TXNDC15	UP	17	mesenchymal_stem_like	ACY1	UP	30	luminal_ar
								TDRD12	DOWN	41	immunomodulatory					MCTP1	UP	18	mesenchymal_stem_like	SCARB2	UP	26	luminal_ar
								PTPLA	DOWN	45	immunomodulatory					ZFHX4	UP	15	mesenchymal_stem_like	SPTLC2	UP	36	luminal_ar
								DLG5	DOWN	37	immunomodulatory					MMRN2	UP	17	mesenchymal_stem_like	GDF15	UP	26	luminal_ar
								CRLF1	DOWN	45	immunomodulatory					ATP8B4	UP	14	mesenchymal_stem_like	SCAMP1	UP	23	luminal_ar
								ADIPOQ	DOWN	44	immunomodulatory					CYBRD1	UP	15	mesenchymal_stem_like	TMEM59	UP	24	luminal_ar
								CD36	DOWN	42	immunomodulatory					GPR177	UP	20	mesenchymal_stem_like	ATP6V1G1	UP	28	luminal_ar
								GDF15	DOWN	38	immunomodulatory					SVEP1	UP	21	mesenchymal_stem_like	ENTPD5	UP	29	luminal_ar
								BAG3	DOWN	38	immunomodulatory					CALD1	UP	19	mesenchymal_stem_like	PREPL	UP	23	luminal_ar
								CLCA2	DOWN	54	immunomodulatory					MYO15B	UP	14	mesenchymal_stem_like	AKAP12	UP	22	luminal_ar
								FEZ1	DOWN	39	immunomodulatory					CALM1	UP	15	mesenchymal_stem_like	RNF14	UP	22	luminal_ar
								VGLL4	DOWN	36	immunomodulatory					C13orf18	UP	15	mesenchymal_stem_like	GNA14	UP	26	luminal_ar
								RNF144A	DOWN	37	immunomodulatory					CHD9	UP	15	mesenchymal_stem_like	CLCA2	UP	39	luminal_ar
								MTSS1	DOWN	38	immunomodulatory					CCDC92	UP	16	mesenchymal_stem_like	MICAL2	UP	22	luminal_ar
								HEPH	DOWN	44	immunomodulatory					PDGFD	UP	24	mesenchymal_stem_like	GCC2	UP	30	luminal_ar
								MFAP3L	DOWN	50	immunomodulatory					TRAF3IP3	UP	13	mesenchymal_stem_like	MTFR1	UP	25	luminal_ar
								MAGI2	DOWN	38	immunomodulatory					SHOC2	UP	13	mesenchymal_stem_like	ZNF432	UP	24	luminal_ar
								MRC2	DOWN	39	immunomodulatory					ADAM12	UP	17	mesenchymal_stem_like	KIAA0040	UP	25	luminal_ar
								CDH3	DOWN		immunomodulatory					SLC19A3	UP	13	mesenchymal_stem_like	BZW1	UP	25	luminal_ar
								TANK	DOWN		immunomodulatory					TMEM22	UP	13	mesenchymal_stem_like	HERPUD1	UP	27	luminal_ar
								LOC100130100	DOWN		immunomodulatory					MFAP5	UP	20	mesenchymal_stem_like	SECISBP2L	UP	22	luminal_ar
								LOC100133233	DOWN		immunomodulatory					ITIH5	UP	22	mesenchymal_stem_like	RICS	UP	28	luminal_ar
								LOC100133484	DOWN		immunomodulatory					COL18A1	UP	13	mesenchymal_stem_like	SLK	UP	24	luminal_ar
								LOC100133739	DOWN		immunomodulatory					SSPN	UP	14	mesenchymal_stem_like	MLEC	UP	23	luminal_ar
								LOC100133862	DOWN		immunomodulatory					SLC2A10	UP	15	mesenchymal_stem_like	ZFYVE16	UP	27	luminal_ar
								SH2B3	DOWN		immunomodulatory					COLEC12	UP	21	mesenchymal_stem_like	CD151	UP	22	luminal_ar
								NR1H3	DOWN		immunomodulatory					TCL1A	UP	14	mesenchymal_stem_like	TM9SF4	UP	22	luminal_ar
								ADAM8	DOWN		immunomodulatory					GRINL1A	UP	16	mesenchymal_stem_like	KIAA0232	UP	34	luminal_ar
								RASGRP1	DOWN		immunomodulatory					SYNC	UP	13	mesenchymal_stem_like	SCRN1	UP	23	luminal_ar
