Sample	Cluster
PT126_P3_E04_S52	2
PT126_P3_E06_S54	2
PT126_P3_E08_S56	2
PT126_P3_E09_S57	3
PT126_P3_E12_S60	3
PT126_P3_F01_S61	3
PT126_P3_F02_S62	3
PT126_P3_F03_S63	2
PT126_P3_F04_S64	2
PT126_P3_F05_S65	4
PT126_P3_F06_S66	3
PT126_P3_F07_S67	3
PT126_P3_F08_S68	3
PT126_P3_F09_S69	2
PT126_P3_F10_S70	3
PT126_P3_F12_S72	4
PT126_P3_G01_S73	3
PT126_P3_G02_S74	3
PT126_P3_G03_S75	3
PT126_P3_G04_S76	4
PT126_P3_G06_S78	2
PT126_P3_G07_S79	2
PT126_P3_G08_S80	2
PT126_P3_G10_S82	3
PT126_P3_G11_S83	3
PT126_P3_G12_S84	2
PT126_P3_H01_S85	3
PT126_P3_H02_S86	3
PT126_P3_H03_S87	2
PT126_P3_H04_S88	4
PT126_P3_H05_S89	3
PT126_P3_H06_S90	2
PT126_P3_H07_S91	3
PT126_P3_H08_S92	3
PT126_P3_H10_S94	3
PT126_P3_H11_S95	2
PT126_P3_H12_S96	3
PT039_P121_A02_S290	3
PT039_P121_A03_S291	4
PT039_P121_A04_S292	2
PT039_P121_A05_S293	2
PT039_P121_A06_S294	2
PT039_P121_A07_S295	2
PT039_P121_A08_S296	2
PT039_P121_A09_S297	4
PT039_P121_A10_S298	4
PT039_P121_A11_S299	2
PT039_P121_A12_S300	4
PT039_P121_B01_S301	2
PT039_P121_B02_S302	2
PT039_P121_B03_S303	2
PT039_P121_B04_S304	4
PT039_P121_B05_S305	2
PT039_P121_B06_S306	4
PT039_P121_B07_S307	2
PT039_P121_B08_S308	4
PT039_P121_B09_S309	4
PT039_P121_B10_S310	1
PT039_P121_B11_S311	4
PT039_P121_B12_S312	2
PT039_P121_C01_S313	3
PT039_P121_C02_S314	4
PT039_P121_C03_S315	3
PT039_P121_C04_S316	2
PT039_P121_C05_S317	2
PT039_P121_C06_S318	3
PT039_P121_C08_S320	2
PT039_P121_C09_S321	2
PT039_P121_C10_S322	3
PT039_P121_C11_S323	4
PT039_P121_D01_S325	4
PT039_P121_D02_S326	2
PT039_P121_D03_S327	4
PT039_P121_D04_S328	3
PT039_P121_D05_S329	4
PT039_P121_D07_S331	4
PT039_P121_D08_S332	2
PT039_P121_D09_S333	4
PT039_P121_D10_S334	2
PT039_P121_D11_S335	2
PT039_P121_D12_S336	2
PT039_P121_E01_S337	2
PT039_P121_E02_S338	4
PT039_P121_E03_S339	2
PT039_P121_E04_S340	2
PT039_P121_E05_S341	2
PT084_P121_E06_S342	2
PT084_P121_E09_S345	5
PT084_P121_E10_S346	2
PT084_P121_E11_S347	3
PT084_P121_E12_S348	4
PT084_P121_F02_S350	3
PT084_P121_F03_S351	2
PT084_P121_F04_S352	3
PT084_P121_F05_S353	3
PT084_P121_F06_S354	3
PT084_P121_F07_S355	3
PT084_P121_F08_S356	2
PT084_P121_F09_S357	2
PT084_P121_G01_S361	2
PT084_P121_G02_S362	5
PT084_P121_G04_S364	5
PT084_P121_G05_S365	2
PT084_P121_G06_S366	2
PT084_P121_G08_S368	2
PT084_P121_G11_S371	2
PT084_P121_G12_S372	3
PT084_P121_H01_S373	4
PT084_P121_H03_S375	2
PT084_P121_H06_S378	3
PT084_P121_H07_S379	3
PT084_P121_H08_S380	3
PT084_P121_H09_S381	3
PT084_P121_H10_S382	2
PT084_P121_H12_S384	2
PT039_P10_A01_S193	2
PT039_P10_A02_S194	2
PT039_P10_A03_S195	2
PT039_P10_A04_S196	2
PT039_P10_A05_S197	4
PT039_P10_A08_S200	4
PT039_P10_A09_S201	4
PT039_P10_A12_S204	2
PT039_P10_B01_S205	3
PT039_P10_B02_S206	2
PT039_P10_B03_S207	2
